id,english_name,chinese_name,volume_size,food_intake,night_shift,total_skills,make_a_fire,watering,planting,generate_electricity,manual,collection,logging,mining,pharmaceutical,cool_down,pasture,carry,handling_speed,ranch_items,pasture_minimum_output,largest_ranch (Rank = partner_skill_level)
1,Lamball,Mian Youyou,smallest,2,0,3,0,0,0,0,1,0,0,0,0,0,1,1,160,wool,1,Rank
2,Cattiva,Naughty cat,smallest,2,0,4,0,0,0,0,1,1,0,1,0,0,0,1,160,0,0,
3,Chikipi,Pipi Chicken,smallest,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,Egg,1,Rank
4,Lifmunk,green leaf rat,smallest,1,0,5,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,
5,Foxparks,tinder fox,smallest,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Fuack,surf duck,smallest,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,202,0,0,
7,Sparkit,Volt Meow,smallest,2,0,3,0,0,0,1,1,0,0,0,0,0,0,1,270,0,0,
8,Tanzee,Neolepithecus,smallest,2,0,5,0,0,1,0,1,1,1,0,0,0,0,1,174,0,0,
9,Rooby,Fire Deer,Small,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Pengullet,Keimaru,smallest,2,0,4,0,1,0,0,1,0,0,0,0,1,0,1,265,0,0,
11,Penking,King Keimaru,big,8,0,10,0,2,0,0,2,0,0,2,0,2,0,2,280,0,0,
12,Jolthog,electric rat,smallest,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
12,Jolthog Cryst,ice agouti,smallest,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
13,Gumoss,Ye NiNi,smallest,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
13,Gumoss (Special),Ye Ni Ni (Special),smallest,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
14,Vixy,Tamamo fox,smallest,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,Palu Ball Advanced Palu Ball Arrow Gold Coin,"According to partner skill level 1,1,2,1,1 0,0,0,1,1 1,1,2,3,4 10,20,30,40,50","According to partner skill level 1,2,3,1,2 0,0,0,1,1 1,2,3,4,5 10,20,30,40,50"
15,Hoocrates,Tikar,smallest,3,yes,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
16,Teafant,pot elephant,medium,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,Depresso,Look at the devil,smallest,2,yes,3,0,0,0,0,1,0,0,1,0,0,0,1,100,0,0,
18,Cremis,Miruffy,smallest,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,wool,1,Rank
19,Daedream,sleep demon,smallest,3,yes,3,0,0,0,0,1,1,0,0,0,0,0,1,220,0,0,
