ID,name,minimum_level,maximum_level,empty1,ID,name,minimum_level,fecundity,palu_refresh_type,night_only,refresh_area,empty1,ID,name,maximum level,palu_refresh_type,night_only,refresh_area
1,Mian Youyou,1,14,0,1,Mian Youyou,1,1470,Creeps,0,grassland,0,1,Mian Youyou,14,Creeps,0,grassland
2,Naughty cat,1,13,0,2,Naughty cat,1,1460,Creeps,0,grassland,0,2,Naughty cat,13,Random dungeon boss,0,dungeon
3,Pipi Chicken,1,13,0,3,Pipi Chicken,1,1500,Creeps,0,grassland,0,3,Pipi Chicken,13,Random dungeon boss,0,dungeon
4,green leaf rat,2,13,0,4,green leaf rat,2,1430,Creeps,0,islands,0,4,green leaf rat,13,Random dungeon boss,0,dungeon
5,tinder fox,2,18,0,5,tinder fox,2,1400,Creeps,0,islands,0,5,tinder fox,18,Wild BOSS,0,grassland
6,surf duck,2,13,0,6,surf duck,2,1330,Creeps,0,islands,0,6,surf duck,13,Random dungeon boss,0,dungeon
7,Volt Meow,3,17,0,7,Volt Meow,3,1410,Creeps,0,grassland,0,6,surf duck,13,Creeps,0,grassland
8,Neolepithecus,2,13,0,8,Neolepithecus,2,1250,Creeps,0,islands,0,7,Volt Meow,17,Creeps,0,grassland
9,Fire Deer,2,13,0,9,Fire Deer,2,1155,Creeps,0,islands,0,8,Neolepithecus,13,Random dungeon boss,0,dungeon
10,Keimaru,2,45,0,10,Keimaru,2,1350,Creeps,0,grassland,0,9,Fire Deer,13,Random dungeon boss,0,dungeon
11,King Keimaru,15,22,0,11,King Keimaru,15,520,Secret Domain BOSS,0,grassland,0,10,Keimaru,45,Random dungeon boss,0,dungeon
12,electric rat,3,13,0,12,ice agouti,10,1360,event,0,Random events,0,11,King Keimaru,22,Creeps,0,game reserve
12,ice agouti,10,10,0,12,electric rat,3,1370,Creeps,0,grassland,0,12,ice agouti,10,event,0,Random events
13,Ye Ni Ni (Special),2,14,0,13,Ye NiNi,2,1240,Creeps,0,islands,0,12,electric rat,13,Random dungeon boss,0,dungeon
13,Ye NiNi,2,14,0,13,Ye Ni Ni (Special),2,1240,Creeps,0,islands,0,13,Ye NiNi,14,Creeps,0,grassland
14,Tamamo fox,3,13,0,14,Tamamo fox,3,1450,Creeps,0,grassland,0,13,Ye Ni Ni (Special),14,Creeps,0,grassland
