chinese_name,code_name,override_name_text_id,name_prefix_id,override_partner_skill_text_id,is_pal,tribe,bp_class,pictorial_id,zukan_index_suffix,size,rarity,element1,element2,genus_category,organization,weapon,weapon_equip,hp,melee_attack,remote_attack,defense,support,craft_speed,being_damage_multiplier,capture_probability,experience_multiplier,price,air_response,ai_sight_response,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,handling_speed,is_boss,is_tower_boss,battle_bgm,ignore_lean_back,ignore_blow_away,max_full_stomach,full_stomach_decrease_rate,food_amount,viewing_distance,viewing_angle,hearing_rate,noose_trap,nocturnal,biological_grade,predator,edible,endurance,male_probability,fecundity,breathing_fire,watering,planting,generate_electricity,manual,collection,logging,mining,oil_extraction_not_shown_in_game,pharmaceutical,cool_down,carry,pasture,passive_skill_1,passive_skill_2,passive_skill_3,passive_skill_4
Victor & Heterogeneous Griffin,GYM_BlackGriffon,PAL_NAME_SnowBoss,GYM_NAME_Snow,PARTNERSKILL_lackGriffon,TRUE,EPalTribeID::BlackGriffon,GYM_BlackGriffon,-2,,XL,10,Dark,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,8000,130,200,220,90,100,100%,100%,30,9060,Warlike,NULL,80,80,850,1100,465,TRUE,TRUE,EPalBattleBGMType::TowerBoss,TRUE,TRUE,525,1,8,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,100,9999,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL,None
Zoe & Lightning Bear,GYM_ElecPanda,PAL_NAME_GrassBoss,GYM_NAME_Meadow,PARTNERSKILL_lecPanda,TRUE,EPalTribeID::ElecPanda,GYM_ElecPanda,-2,,XL,8,Electricity,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,6000,100,100,100,100,100,100%,100%,30,6610,Warlike,NULL,80,140,470,650,287,TRUE,TRUE,EPalBattleBGMType::TowerBoss,TRUE,TRUE,475,1,6,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,0,9999,0,0,0,3,2,0,2,0,0,0,0,3,0,NULL,NULL,NULL,None
Marcus & Horus,GYM_Horus,PAL_NAME_DessertBoss,GYM_NAME_Desert,PARTNERSKILL_orus,TRUE,EPalTribeID::Horus,GYM_Horus,-2,,XL,9,Fire,NULL,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,6500,100,120,125,90,100,100%,100%,30,6720,Warlike,NULL,150,200,1000,1300,500,TRUE,TRUE,EPalBattleBGMType::TowerBoss,TRUE,TRUE,525,1,8,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,100,9999,3,0,0,0,0,0,0,0,0,0,0,3,0,NULL,NULL,NULL,None
Lily & Lily Queen,GYM_LilyQueen,PAL_NAME_ForestBoss,GYM_NAME_Forest,PARTNERSKILL_ilyQueen,TRUE,EPalTribeID::LilyQueen,GYM_LilyQueen,-2,,XL,9,Leaf,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,5500,100,110,105,100,100,100%,100%,30,6510,Warlike,NULL,60,100,450,650,275,TRUE,TRUE,EPalBattleBGMType::TowerBoss,TRUE,TRUE,475,1,6,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,0,9999,0,0,3,0,2,2,0,0,0,3,0,0,0,NULL,NULL,NULL,None
Axel & Pollux,GYM_ThunderDragonMan,PAL_NAME_VolcanoBoss,GYM_NAME_Volcano,PARTNERSKILL_hunderDragonMan,TRUE,EPalTribeID::ThunderDragonMan,GYM_ThunderDragonMan,-2,,XL,9,Dragon,Electricity,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,6500,100,140,110,100,100,100%,100%,30,8320,Warlike,NULL,100,185,900,1300,542,TRUE,TRUE,EPalBattleBGMType::TowerBoss,TRUE,TRUE,475,1,7,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,100,9999,0,0,0,3,2,0,0,0,0,0,0,3,0,NULL,NULL,NULL,None
does not appear in the game,BadCatgirl,NULL,NULL,NULL,TRUE,EPalTribeID::BadCatgirl,BadCatgirl,-1,,XL,0,Dark,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,90,90,100,100,100%,100%,1,4690,Warlike,NULL,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,225,1,3,25,90,1,FALSE,TRUE,0,FALSE,TRUE,100,50,0,0,0,0,0,2,3,1,0,0,0,0,2,0,NULL,NULL,NULL,None
does not appear in the game,BlueberryFairy,NULL,NULL,NULL,TRUE,EPalTribeID::BlueberryFairy,BlueberryFairy,-1,,XL,0,Leaf,Dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,100,100,100,100%,100%,1,8200,Escape_to_Battle,NULL,-1,-1,-1,-1,-1,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,2,0,1,2,0,0,0,3,0,1,0,NULL,NULL,NULL,None
Melupa,BOSS_Alpaca,PAL_NAME_Alpaca,BOSS_NAME_Alpaca,PARTNERSKILL_Alpaca,TRUE,EPalTribeID::Alpaca,BOSS_Alpaca,-1,,XL,3,Normal,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,90,90,90,90,100,100,40%,70%,10,3040,NotInterested,NULL,62,62,460,900,261,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,890,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,NULL,NULL,None
Blue Flame Wolf,BOSS_AmaterasuWolf,PAL_NAME_AmaterasuWolf,BOSS_NAME_AmaterasuWolf,PARTNERSKILL_AmaterasuWolf,TRUE,EPalTribeID::AmaterasuWolf,BOSS_AmaterasuWolf,-1,,XL,6,Fire,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,70,115,100,110,100,20%,70%,10,3170,Boss,NULL,80,130,700,1000,415,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,830,2,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,None
Anubis,Boss_Anubis,PAL_NAME_Anubis,BOSS_NAME_Anubis,PARTNERSKILL_Anubis,TRUE,EPalTribeID::Anubis,Boss_Anubis,-1,,XL,10,Earth,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,120,130,130,100,100,100,20%,70%,10,9190,Boss,NULL,80,160,800,1000,480,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,400,1,6,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,570,0,0,0,0,4,0,0,3,0,0,0,2,0,ElementBoost_Earth_2_PAL,NULL,NULL,None
does not appear in the game,BOSS_BadCatgirl,PAL_NAME_BadCatgirl,BOSS_NAME_BadCatgirl,PARTNERSKILL_BadCatgirl,TRUE,EPalTribeID::BadCatgirl,BOSS_BadCatgirl,-1,,XL,0,Dark,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,100,100,100,20%,70%,10,4690,Boss,NULL,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,0,0,0,0,0,2,3,1,0,0,0,0,2,0,NULL,NULL,NULL,None
炎魔羊,BOSS_Baphomet,PAL_NAME_Baphomet,BOSS_NAME_Baphomet,PARTNERSKILL_Baphomet,TRUE,EPalTribeID::Baphomet,BOSS_Baphomet,-1,,XL,4,Fire,Dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,150,100,85,100,100,20%,70%,10,4780,Boss,NULL,80,160,700,960,320,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,TRUE,9,TRUE,TRUE,100,50,590,1,0,0,0,2,0,0,1,0,0,0,2,0,NULL,NULL,NULL,None
暗魔羊,BOSS_Baphomet_Dark,PAL_NAME_Baphomet_Dark,BOSS_NAME_Baphomet_Dark,PARTNERSKILL_Baphomet_Dark,TRUE,EPalTribeID::Baphomet_Dark,BOSS_Baphomet_Dark,-1,,XL,5,Dark,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,150,105,85,100,100,20%,70%,10,4870,Boss,NULL,80,160,700,960,320,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,TRUE,9,TRUE,TRUE,100,50,580,0,0,0,0,2,0,0,1,0,0,0,2,0,NULL,NULL,NULL,None
喵丝特,BOSS_Bastet,PAL_NAME_Bastet,BOSS_NAME_Bastet,PARTNERSKILL_Bastet,TRUE,EPalTribeID::Bastet,BOSS_Bastet,-1,,S,1,Dark,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,60,70,100,100,40%,70%,10,1000,NotInterested,NULL,52,105,475,550,317,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,100,1,1,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,1480,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,NULL,NULL,None
冰丝特,BOSS_Bastet_Ice,PAL_NAME_Bastet_Ice,BOSS_NAME_Bastet_Ice,PARTNERSKILL_Bastet_Ice,TRUE,EPalTribeID::Bastet_Ice,BOSS_Bastet_Ice,-1,,S,2,Ice,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,65,70,100,100,20%,70%,10,1010,NotInterested,NULL,52,105,475,550,317,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,100,1,1,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1440,0,0,0,0,0,0,0,0,0,0,1,0,1,NULL,NULL,NULL,None
does not appear in the game,BOSS_BeardedDragon,PAL_NAME_BeardedDragon,BOSS_NAME_BeardedDragon,PARTNERSKILL_BeardedDragon,TRUE,EPalTribeID::BeardedDragon,BeardedDragon,-1,,XL,0,Dragon,NULL,EPalGenusCategoryType::Dragon,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,100,100,100,20%,70%,10,9970,Boss,NULL,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,600,1,9,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,None
